scenario,zone,layer,metric,n_zig,n_cpp,median_zig_ns,median_cpp_ns,ratio_median,ci_lo,ci_hi,cv_zig_pct,cv_cpp_pct,verdict
query_findnearestpoly_flood,dtFindNearestPoly,query,mean_ns,15,15,399.0,444.0,0.8986486486486487,0.8881431767337807,0.9251700680272109,19.766194033361494,3.7226027737267335,FASTER
query_findpath_flood,dtFindPath,query,mean_ns,15,15,1793.0,1788.0,1.0027964205816555,0.9721006564551422,1.0360824742268042,3.313173270156103,11.624858215596051,tie(noise)
query_findpath_long_diagonal,dtFindPath,query,mean_ns,15,15,1762.0,1743.0,1.0109007458405048,0.9988564894225271,1.0377358490566038,3.052958683915147,8.603958983531545,tie(noise)
query_findstraightpath_flood,dtFindStraightPath,query,mean_ns,15,15,455.0,477.0,0.9538784067085954,0.9188640973630832,0.9744680851063829,14.823860729397962,12.847044551816502,FASTER
query_findstraightpath_crossings,dtFindStraightPath,query,mean_ns,15,15,649.0,771.0,0.8417639429312581,0.8198992443324937,0.8543563068920677,24.746062848220618,1.6767443534739794,FASTER
query_raycast_flood,dtRaycast,query,mean_ns,15,15,113.0,118.0,0.9576271186440678,0.9333333333333333,1.076271186440678,18.874970515443316,11.141949572647924,tie(noise)
query_movealongsurface_flood,dtMoveAlongSurface,query,mean_ns,15,15,126.0,126.0,1.0,0.9552238805970149,1.032258064516129,2.023252130699393,8.309484239345686,tie(noise)
query_findpolysaroundcircle_radius_sweep,dtFindPolysAroundCircle,query,mean_ns,15,15,223.0,249.0,0.8955823293172691,0.6901840490797546,0.9221311475409836,5.757386490251199,16.046974012031196,FASTER
query_findpolysaroundshape_convex_sweep,dtFindPolysAroundShape,query,mean_ns,15,15,96.0,110.0,0.8727272727272727,0.7611940298507462,0.9714285714285714,5.619612095453985,15.756303987167291,FASTER
query_findlocalneighbourhood_radius_sweep,dtFindLocalNeighbourhood,query,mean_ns,15,15,202.0,272.0,0.7426470588235294,0.6971830985915493,0.7915057915057915,80.97137183606941,25.35479483700041,FASTER
query_findrandompoint_area_weighted,dtFindRandomPoint,query,mean_ns,15,15,334467.0,300582.0,1.1127313012755256,1.0474513027254817,1.2154911416105842,8.405228287849699,4.257005358054111,SLOWER
query_findrandompointaroundcircle_radius_sweep,dtFindRandomPointAroundCircle,query,mean_ns,15,15,432.0,421.0,1.0261282660332542,0.9379157427937915,1.1298076923076923,10.97860920435011,61.10281674653012,tie(noise)
query_finddistancetowall_radius_sweep,dtFindDistanceToWall,query,mean_ns,15,15,160.0,184.0,0.8695652173913043,0.8494623655913979,0.9171270718232044,9.56819892156445,9.414938519480511,FASTER
query_getpolyheight_snapped,dtGetPolyHeight,query,mean_ns,15,15,105.0,97.0,1.0824742268041236,0.981651376146789,1.1145833333333333,4.320010126320448,28.849446984289838,tie(noise)
query_isvalidpolyref_snapped,dtIsValidPolyRef,query,mean_ns,15,15,30.0,22.0,1.3636363636363635,1.3043478260869565,1.4545454545454546,11.038289625544705,52.001374341725494,SLOWER
query_getpolywallsegments_portals,dtGetPolyWallSegments,query,mean_ns,15,15,54.0,49.0,1.1020408163265305,1.0185185185185186,1.1666666666666667,32.316565930646775,12.526748742975403,SLOWER
query_slicedpath_budget32,dtInitSlicedFindPath,query,mean_ns,15,15,53.0,46.0,1.1521739130434783,1.1063829787234043,1.1777777777777778,3.1124748994971827,18.06191897837606,SLOWER
query_slicedpath_budget32,dtUpdateSlicedFindPath,query,mean_ns,15,15,853.0,943.0,0.9045599151643691,0.8913270637408568,0.9355191256830601,4.55469112751463,12.73980542400394,FASTER
query_multitile_findpath,dtFindPath,query,mean_ns,15,15,4505.0,4595.0,0.9804134929270947,0.9583603020496224,1.003542958370239,4.406081540805477,6.060715093397027,tie(noise)
query_multitile_straightpath,dtFindStraightPath,query,mean_ns,15,15,716.0,802.0,0.8927680798004988,0.8542168674698796,0.9279393173198482,4.508062343386221,20.699982606390474,FASTER
query_multitile_raycast,dtRaycast,query,mean_ns,15,15,170.0,198.0,0.8585858585858586,0.8366336633663366,0.8958333333333334,2.3201043694605548,6.968867632864463,FASTER
crowd_baseline_25_oa_low,crowd_check_path_validity,crowd,mean_ns,15,15,14707.0,20077.0,0.7325297604223738,0.6951427758277203,0.7533404460702129,1.7589336013685632,5.723340924850391,FASTER
crowd_baseline_25_oa_low,crowd_collision_resolve,crowd,mean_ns,15,15,154.0,205.0,0.751219512195122,0.6891891891891891,0.7673267326732673,5.91713011832615,7.440199185602521,FASTER
crowd_baseline_25_oa_low,crowd_find_corners,crowd,mean_ns,15,15,15172.0,19323.0,0.7851782849454019,0.7295010636240572,0.8070882852292021,2.4155050909869575,8.260893927373784,FASTER
crowd_baseline_25_oa_low,crowd_grid_register,crowd,mean_ns,15,15,320.0,271.0,1.1808118081180812,1.1041666666666667,1.2159090909090908,3.506530979048346,8.022505707887252,SLOWER
crowd_baseline_25_oa_low,crowd_integrate,crowd,mean_ns,15,15,140.0,102.0,1.3725490196078431,1.3177570093457944,1.4141414141414141,3.4960599276340814,6.43546365911613,SLOWER
crowd_baseline_25_oa_low,crowd_move_position,crowd,mean_ns,15,15,5548.0,6189.0,0.8964291484892551,0.8180882352941177,0.9097244732576986,2.5003988062087483,7.532902057639318,FASTER
crowd_baseline_25_oa_low,crowd_neighbor_find,crowd,mean_ns,15,15,2982.0,4124.0,0.7230843840931135,0.6797161172161172,0.73100415343269,2.7167236209442627,5.19735814539091,FASTER
